run_id,batch_number,timestamp,question_id,question,expected_domain,actual_domain,status,reason,latency_seconds,input_tokens,output_tokens,generated_sql,thought_process,column_selected,error_message
854ce6,1,2025-12-01 19:46:04.159773+00:00,1,What is GNS4 trend for last 4 months?,Collections,COLLECTIONS,FAIL,LLM: The candidate data provided 'gns4_count' while the reference data shows 'gns4_percentage'. The numerical values are fundamentally different and do not match. [Data_Mismatch],1.01,0,0,"WITH DateAnchor AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_business_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  DATE_TRUNC(t1.BUSINESS_DATE, MONTH) AS month,
  COUNT(DISTINCT t1.AGREEMENTNO) AS gns4_count
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t1
CROSS JOIN DateAnchor AS da
WHERE
  t1.BUSINESS_DATE >= DATE_SUB(da.max_business_date, INTERVAL '4' MONTH)
  AND t1.MOB_ON_INSTL_START_DATE = 4
  AND t1.Bounce_Flag = 'Y'
  AND t1.SOM_POS > 0
  AND t1.SOM_NPASTAGEID = 'REGULAR'
GROUP BY
  1
ORDER BY
  1 DESC",User asks for GNS4 trend. This falls under Scenario 1 (Bounce Analysis). Logic: Bounce_Flag='Y' and MOB_ON_INSTL_START_DATE = 4. Filter: SOM_POS>0 AND SOM_NPASTAGEID='REGULAR'. Time: Last 4 Months.,"['GNS4: Bounce_Flag, MOB_ON_INSTL_START_DATE', 'Time: BUSINESS_DATE']",
854ce6,1,2025-12-01 19:46:28.489906+00:00,2,Give me top 10 dealer names that have the highest NNS3 percentage and cases are more than 30 per dealer? Show the number of cases.,Collections,COLLECTIONS,PASS,"LLM: The candidate data provides the correct set of 10 dealers and their corresponding metrics. The order of rows with tied 'nns3_percentage' values differs from the reference, but this is an acceptable variation as the set of results is identical.",0.97,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  SUPPLIERNAME,
  COUNT(DISTINCT AGREEMENTNO) AS total_cases,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN NNS3 = 'Y' THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS nns3_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND MOB_ON_INSTL_START_DATE = 3
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'
GROUP BY
  SUPPLIERNAME
HAVING
  COUNT(DISTINCT AGREEMENTNO) > 30
ORDER BY
  nns3_percentage DESC
LIMIT 10","User asks for NNS3 percentage by dealer. NNS3 is a specific flag for the 3rd EMI, so I must filter for MOB_ON_INSTL_START_DATE = 3. This falls under Scenario 3 (Standard Portfolio Performance), requiring filters POS > 0 AND NPASTAGEID = 'REGULAR'. The time frame is the latest BUSINESS_DATE. I need to calculate the percentage and total cases, then filter for dealers with more than 30 cases and order by percentage.","['Dealer Name: SUPPLIERNAME', 'NNS3 Percentage: NNS3, AGREEMENTNO', 'Number of Cases: AGREEMENTNO', 'Month on Book: MOB_ON_INSTL_START_DATE']",
854ce6,1,2025-12-01 19:46:53.363450+00:00,3,Show me the top 10 dealers where banking model has highest no hit percentage? application count should be greater than 30 and what is the approval percentage?,Sourcing,SOURCING,PASS,"LLM: The candidate data is a perfect match to the reference data. All rows, values, and the descending sort order based on the 'no hit percentage' are correct.",1.0,3209,587,"SELECT
  Dealer_Name_Supplier__c AS dealer_name,
  COUNT(*) AS total_applications,
  COUNT(
    CASE
      WHEN NOT (
        FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
        OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
      )
      THEN 1
    END
  ) AS banking_no_hits,
  ROUND(
    SAFE_DIVIDE(
      COUNT(
        CASE
          WHEN NOT (
            FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
            OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
          )
          THEN 1
        END
      ),
      COUNT(*)
    ) * 100,
    2
  ) AS banking_no_hit_percentage,
  COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END) AS approved_applications,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS approval_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25`
WHERE
  DATE(LastModifiedDate) >= DATE_SUB(CURRENT_DATE, INTERVAL '3' MONTH)
GROUP BY
  dealer_name
HAVING
  total_applications > 30
ORDER BY
  banking_no_hit_percentage DESC
LIMIT 10","The user wants to identify the top 10 dealers with the highest 'banking model no hit percentage' and also see their approval percentage. This involves calculating total applications, banking hits, and approved applications per dealer. The date context is for 'applications', so Scenario A (Sourcing) and the default 'Last 3 Months' date range will be used. A minimum application count of 30 is required for each dealer. The 'banking model no hit' is derived from the absence of a banking hit in the `FINAL_APPLICANT_SCORECARD_MODEL_BRE` field.","['Dealer: Dealer_Name_Supplier__c', ""Banking Hit: FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%' OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'"", 'Approval Status: BRE_Sanction_Result__c', 'Application Date: LastModifiedDate']",
854ce6,1,2025-12-01 19:47:09.083591+00:00,4,SHow me the bounce rate on 0 dpd for Assam?,Collections,COLLECTIONS,PASS,"LLM: The candidate data correctly provides the bounce rate for Assam, which matches the reference data. Although the candidate has fewer columns, it directly and accurately answers the user's question.",0.84,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  UPPER(STATE) AS state,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN Bounce_Flag = 'Y' AND SOM_DPD = 0 THEN AGREEMENTNO END),
      COUNT(DISTINCT CASE WHEN SOM_DPD = 0 THEN AGREEMENTNO END)
    ) * 100,
    2
  ) AS bounce_rate_on_0_dpd_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND UPPER(STATE) = 'ASSAM'
  AND SOM_POS > 0
  AND SOM_NPASTAGEID = 'REGULAR'
GROUP BY
  1","User asks for 'bounce rate on 0 dpd' for a specific state. This implies calculating the percentage of accounts that bounced while being at 0 DPD (XBKT) out of all accounts that were 0 DPD at the start of the month. This falls under Scenario 1 (Bounce Analysis) due to the 'bounce' keyword. Therefore, the mandatory filters `SOM_POS > 0` and `SOM_NPASTAGEID = 'REGULAR'` must be applied. The state filter `UPPER(STATE) = 'ASSAM'` is also applied. Since no specific time frame is mentioned, the query will default to the latest `BUSINESS_DATE` snapshot.","['Bounce Rate on 0 DPD: Bounce_Flag, SOM_DPD', 'State: STATE']",
854ce6,1,2025-12-01 19:47:15.473791+00:00,5,What is the rejection based on CIBIL score below 650 in the last 3 months? Month on month?,Sourcing,COLLECTIONS,ERROR,SQL Error: No SQL Generated,0.0,0,0,,,[],No SQL Generated
854ce6,1,2025-12-01 19:47:32.674519+00:00,6,What is the rejection rate for applications where CIBIL score is between 300-650 in October 2025? Also list out the reason of rejections for these cases.,Sourcing,SOURCING,FAIL,"LLM: The candidate's response correctly identifies the overall rejection rate but fails to provide the breakdown of rejection reasons, which was explicitly requested by the user. [Data_Mismatch]",0.72,3218,424,"SELECT
  COUNT(*) AS total_applications,
  COUNT(CASE WHEN BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END) AS rejected_applications,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS rejection_rate_pct
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25`
WHERE
  DATE(LastModifiedDate) >= '2025-10-01'
  AND DATE(LastModifiedDate) < '2025-11-01'
  AND SAFE_CAST(CIBIL_SCORE AS INT64) BETWEEN 300 AND 650","The user is asking for the rejection rate for applications with a specific CIBIL score range in October 2025. This falls under Scenario A (Sourcing, Approvals, Rejections), so `LastModifiedDate` is used for filtering. The CIBIL score is a string and needs to be cast to an integer for numerical comparison. The request also asks for 'reason of rejections', but the provided schema does not contain a column for rejection reasons (e.g., `REJECTION_REASON__c`). Therefore, I can only provide the rejection rate and cannot list specific reasons based on the current schema.","['CIBIL Score: CIBIL_SCORE', 'Rejection Status: BRE_Sanction_Result__c', 'Application Date: LastModifiedDate', 'Rejection Reason: N/A (Not available in schema)']",
854ce6,1,2025-12-01 19:47:49.046324+00:00,7,what is the current 1-30 delinquency percentage of the portfolio in comparison with last year?,Collections,COLLECTIONS,PASS,LLM: The candidate data correctly identifies the delinquency percentages for the current period and last year. The numeric values (4.27 vs 4.31 and 5.4 vs 5.45) are within the allowed 1% tolerance.,0.73,0,0,"WITH DateAnchors AS (
  SELECT
    MAX(BUSINESS_DATE) AS current_max_date,
    DATE_SUB(MAX(BUSINESS_DATE), INTERVAL '1' YEAR) AS last_year_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  'Current' AS period,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET = 1 THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS delinquency_1_30_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      current_max_date
    FROM DateAnchors
  )
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'
UNION ALL
SELECT
  'Last Year' AS period,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET = 1 THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS delinquency_1_30_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      last_year_date
    FROM DateAnchors
  )
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'",User asks for '1-30 delinquency percentage' for the current period and last year. '1-30 delinquency' maps to DPD_BUCKET = 1. This falls under Scenario 3 (Standard Portfolio Performance) with filters POS > 0 AND NPASTAGEID = 'REGULAR'. I need to calculate this for the latest BUSINESS_DATE and the BUSINESS_DATE exactly one year prior.,"['1-30 delinquency: DPD_BUCKET', 'Portfolio: AGREEMENTNO', 'Current Period: BUSINESS_DATE', 'Last Year: BUSINESS_DATE']",
854ce6,1,2025-12-01 19:47:56.197694+00:00,8,How many cases who were at 0 delinquency last year and now have slipped to 90+ ?,Collections,COLLECTIONS,PASS,Numeric Exact Match,0.97,0,0,"SELECT
  COUNT(DISTINCT AGREEMENTNO) AS slipped_to_90_plus_count
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      MAX(BUSINESS_DATE)
    FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
  )
  AND Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag = 1
  AND POS > 0","The user is asking for the count of accounts that slipped from 0 DPD last year to 90+ DPD currently. This directly maps to the 'Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag' column. This metric falls under Scenario 2 (Write-off & Risk Analysis) which requires the filter 'POS > 0'. The request implies a current snapshot, so the filter should be for the maximum BUSINESS_DATE.",['Slippage from 0LY to 90+ Current: Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag'],
854ce6,1,2025-12-01 19:48:10.672096+00:00,9,Which state has the highest normalization rate for the current month in DPD BKT 1?,Collections,COLLECTIONS,PASS,"LLM: The candidate data is an exact match to the reference data. All states, counts, and normalization rates are identical, and the data is correctly ranked to answer the user's question about the highest rate.",0.73,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  STATE,
  COUNT(DISTINCT CASE WHEN DPD_BUCKET = 0 THEN AGREEMENTNO END) AS normalized_accounts_count,
  COUNT(DISTINCT AGREEMENTNO) AS total_accounts_in_som_dpd_bkt_1,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET = 0 THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS normalization_rate_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND SOM_DPD_BUCKET = 1
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'
GROUP BY
  STATE
ORDER BY
  normalization_rate_percentage DESC
LIMIT 10","Metric: Normalization Rate for DPD BKT 1. This means accounts that were in SOM_DPD_BUCKET = 1 and moved to DPD_BUCKET = 0. Scenario 3 (Standard Portfolio Performance) applies, so filter by POS > 0 AND NPASTAGEID = 'REGULAR'. Time: Current month (MAX(BUSINESS_DATE)). Group by STATE and order by the calculated rate.","['Normalization Rate: SOM_DPD_BUCKET, DPD_BUCKET', 'State: STATE']",
854ce6,1,2025-12-01 19:48:32.502517+00:00,10,Which state has the highest roll forward rate for the current month in DPD BKT 2?,Collections,COLLECTIONS,FAIL,"LLM: The candidate correctly identified the top state (Jharkhand), but the roll forward rates and underlying counts for most states do not match the reference data within the 1% numeric tolerance. For example, Jharkhand's rate is 52.7% in the candidate vs. 51.32% in the reference, a 2.68% difference. [Data_Mismatch]",0.7,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  STATE,
  COUNT(DISTINCT CASE WHEN DPD_BUCKET > SOM_DPD_BUCKET THEN AGREEMENTNO END) AS roll_forward_count,
  COUNT(DISTINCT AGREEMENTNO) AS total_dpd_bkt_2_accounts,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET > SOM_DPD_BUCKET THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS roll_forward_rate_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND SOM_DPD_BUCKET = 2
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'
GROUP BY
  STATE
ORDER BY
  roll_forward_rate_percentage DESC
LIMIT 10","Metric: Roll Forward Rate (DPD_BUCKET > SOM_DPD_BUCKET). Population: SOM_DPD_BUCKET = 2. Scenario 3 (Standard Portfolio Performance) applies, so filter by POS > 0 AND NPASTAGEID = 'REGULAR'. Time: Current month, anchored to MAX(BUSINESS_DATE). Group by STATE and order by roll forward rate descending.","['Roll Forward Rate: DPD_BUCKET, SOM_DPD_BUCKET', 'DPD Bucket: SOM_DPD_BUCKET', 'State: STATE']",
